"Nombre","Especie","Familia","Orden","Clase","Habitat","Dieta","Gestacion","Numero de crias","Vida"
"Alcaraván del Cabo","Burhinus capensis","Burhinidae","Charadriiformes","Aves","SABANA AFRICANA","Omnívora a base de semillas, insectos, pequeños mamíferos y pequeños reptiles, cangrejos e incluso ranas.","26-27 días.","1-3","Alrededor de 15 años."
"Antílope acuático","Kobus ellipsiprymnus","Bovidae
 Antilopinae","Artiodactyla","Mammalia","SABANA AFRICANA","El kobo es una animal muy dependiente del agua, se alimenta de una gran variedad de herbáceas de diferentes medidas de longitud. Su dieta es muy rica en proteínas.","Alrededor de 270-285 días.","1","18 años."
"Ave martillo","Scopus umbretta","Scopidae","Pelicaniformes o Ciconiiformes","Aves","SABANA AFRICANA","Consiste principalmente en anfibios (especialmente Xenopus spp.) y pequeños peces, así como crustáceos, gusanos e insectos.","28-30 días.","3-7 huevos.","Sin determinar."
"Avestruz","Struthio camelus","Struthionidae","Struthioniformes","Aves","SABANA AFRICANA","Se alimenta principalmente de hierbas, tallos duros, semillas, flores y frutos, ocasionalmente también de carroña, insectos y pequeños vertebrados. Engulle piedras y otras sustancias duras para ayudar a la digestión.","42-45 días.","15","30-40 años."
"Blesbok","Damaliscus pygargus phillipsi","Bovidae
 Antilopinae","Artiodactyla","Mammalia","SABANA AFRICANA","Herbívora a base principalmente de gramíneas del género Themeda (en varias fases de crecimiento) y también de los géneros Eragrostis y Chloromelas.","Alrededor de 240 días.","1","23 años."
"Cebra de Grant","Equus burchelli boehmi","Equidae","Perissodactyla","Mammalia","SABANA AFRICANA","Pasto de baja calidad, tallos duros y, en ocasiones, hojas o cortezas de árboles y arbustos, requieren de una gran cantidad de alimento por lo que no es raro que pasen en torno a 20 horas al día pastando.","360-370 días.","1","38-40 años."
"Cerceta del Cabo","Anas capensis","Anatidae","Anseriformes","Aves","SABANA AFRICANA","Omnívora, se alimenta de tallos, hojas y semillas de plantas acuáticas, así como de insectos acuáticos, crustáceos y renacuajos.","25 días.","5-11","20-26 años."
"Cigüeña de Abdim","Ciconia abdimii","Ciconiidae","Ciconiiformes","Aves","SABANA AFRICANA","Grandes insectos, principalmente langostas y orugas, ocasionalmente también se alimenta de pequeños reptiles, anfibios, ratones, cangrejos y huevos.","30-33 días.","2-3 huevos.","20 años."
"Damán roquero","Procavia capensis","Procaviidae","Hyracoidea","Mammalia","SABANA AFRICANA","Incluye una gran variedad de hierbas y arbustos, prefieren los brotes, capullos, frutas y bayas, ocasionalmente también se alimentan de corteza de árbol.","De 212 a 240 días.","1-6","Alrededor de 12 años."
"Dik-dik de Kirk","Madoqua kirkii","Bovidae
 Antilopinae","Artiodactyla","Mammalia","SABANA AFRICANA","Herbívora, a base de materia vegetal fácilmente digerible y con poca cantidad de fibra. El 80% de su dieta consiste en hojas de árboles y arbustos, el 17% procede de pastos, y el resto de hierbas y juncos.","Alrededor de 170 días.","1","17 años."
